Year,"Africa, East","Africa, Middle","Africa, North","Africa, South","Africa, West",Caribbean,"America, Central","America, North","America, South","Asia, Central","Asia, East","Asia, South-East","Asia, South","Asia, West","Europe, East","Europe, North","Europe, South","Europe, West",Australasia,Melanesia,Micronesia,Polynesia,Other
1924,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34,0,10,0,0,0,0,0.0
1928,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,25,0,8,0,0,0,0,0.0
1932,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,16,0,6,0,0,0,0,0.0
1936,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,31,0,14,0,0,0,0,0.0
1948,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,28,1,25,0,0,0,0,0.0
1952,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,30,2,21,0,0,0,0,0.0
1956,0,0,0,0,0,0,0,10,0,0,1,0,0,0,18,21,3,19,0,0,0,0,0.0
1960,0,0,0,0,0,0,0,14,0,0,0,0,0,0,24,21,1,21,0,0,0,0,0.0
1964,0,0,0,0,0,0,0,9,0,0,1,0,0,0,26,33,4,30,0,0,0,0,0.0
1968,0,0,0,0,0,0,0,10,0,0,0,0,0,0,18,27,4,42,0,0,0,0,0.0
1972,0,0,0,0,0,0,0,9,0,0,3,0,0,0,20,21,6,32,0,0,0,0,0.0
1976,0,0,0,0,0,0,0,13,0,0,0,0,0,0,28,17,4,30,0,0,0,0,0.0
1980,0,0,0,0,0,0,0,14,0,0,1,0,0,0,25,24,2,26,0,0,0,0,0.0
1984,0,0,0,0,0,0,0,12,0,0,1,0,0,0,32,31,2,15,0,0,0,0,0.0
1988,0,0,0,0,0,0,0,11,0,0,1,0,0,0,35,18,5,43,0,0,0,0,0.0
1992,0,0,0,0,0,0,0,18,0,0,15,0,0,0,3,31,15,65,1,0,0,0,23.0
1994,0,0,0,0,0,0,0,26,0,1,14,0,0,0,27,37,23,51,1,0,0,0,0.0
1998,0,0,0,0,0,0,0,28,0,0,24,0,0,0,25,42,10,73,1,0,0,0,0.0
2002,0,0,0,0,0,0,0,51,0,0,14,0,0,0,22,44,18,83,2,0,0,0,0.0
2006,0,0,0,0,0,0,0,49,0,0,23,0,0,0,33,47,14,84,2,0,0,0,0.0
