State,1990-Commercial,1990-Electric Power,1990-Industrial,1990-Residential,1990-Transportation,1990-Total,2010-Commercial,2010-Electric Power,2010-Industrial,2010-Residential,2010-Transportation,2010-Total,Diff-Commercial,Diff-Electric Power,Diff-Industrial,Diff-Residential,Diff-Transportation,Diff-Total
Alabama,0.05997596600539992,1.2414429658362665,0.621043492495781,0.07630607470762743,0.6946106383740467,2.693379137419121,0.04406101920691854,1.572680265395411,0.3863623813114364,0.05919742264007886,0.7013634257205839,2.7636645142744287,-26.535540581453056,26.681636504824453,-37.78819261775597,-22.42108787944038,0.972168719204212,2.6095611968932517
Alaska,0.39713295161669293,0.4710056742395489,2.8607902871911657,0.28562327224421186,2.1851880984655425,6.199740283757162,0.3562323135712184,0.4266463140865437,2.2666715744595773,0.2529180551116468,2.1113548028739944,5.413823060102981,-10.298978686853282,-9.41800971392215,-20.767642961865516,-11.450473512046898,-3.3788073275428565,-12.676615272307826
Arizona,0.05156555294282425,0.8827603974596759,0.1048037213460992,0.04958068538911977,0.6198144723116682,1.7085248294493873,0.037183224168521455,0.8428373238056157,0.07536824107320116,0.0363170104366118,0.5040181132184097,1.4957239127023598,-27.89134985180879,-4.522526584670886,-28.086293019778946,-26.751697457209044,-18.68242260645881,-12.455242855066242
Arkansas,0.06877077293169016,0.9164371794621541,0.3967791641382917,0.10700981122691892,0.6855722260931704,2.174569153852225,0.08803528209641014,1.0985452934547544,0.303630031537238,0.07939332460652186,0.7002537746260354,2.2698577063209595,28.012640171799962,19.87131448545959,-23.47631655592376,-25.807434200435235,2.1415028167826957,4.38195089357962
California,0.06326979608982322,0.13409953976224248,0.2390414947638505,0.0983658551882432,0.6767911690159203,1.2115678548200794,0.04277638216462166,0.11655482644581423,0.18271803144879434,0.07753617945970623,0.5759865513343067,0.9955719708532431,-32.39051678957105,-13.083350880647988,-23.562211812094887,-21.175717619366115,-14.894493648341678,-17.82779917010197
Colorado,0.12047189566630728,0.9454474770061114,0.16924035136463764,0.16123575842192175,0.5788774462468157,1.9752729287057935,0.08331113016871881,0.7824654141536738,0.2804452085383031,0.15721534273072674,0.5954092017889142,1.8988462973803366,-30.846003785413433,-17.238616297178414,65.70824054487368,-2.4935012744966865,2.855829960086211,-3.8691681648030247
Connecticut,0.11545243840536676,0.33228906304346306,0.08931659235952245,0.24725876164615257,0.44644644736718203,1.2307633028216869,0.09483656316546529,0.21307149680045057,0.0555433778098356,0.2168027554372475,0.4557197686576497,1.0359739618706487,-17.856595776276947,-35.8776678206285,-37.81292328500499,-12.317462890350512,2.0771407959801196,-15.826710180946893
Delaware,0.08597363997927018,1.1184029743102633,0.6028701300990043,0.15965624440869994,0.676503870113073,2.6434068589103106,0.09263146511881719,0.4648120218189756,0.17238699603757068,0.11789132575445412,0.506959543129005,1.3546813518588223,7.744030776354623,-58.43966508533005,-71.40561666087835,-26.159276643970703,-25.06184139873875,-48.7524462118835
District of Columbia,0.20466375509853452,0.06736167851437502,0.0063261915578676445,0.15186028156961348,0.30364481770829027,0.733856724448681,0.19335939261088575,0.03107308362818107,0.005638372307523561,0.13723496525810047,0.1796122990146629,0.5469181128193538,-5.523382722166086,-53.87127471660307,-10.872564386525232,-9.630771232837926,-40.84789578486554,-25.473448072546752
Florida,0.047890037094959856,0.6536137587336813,0.09345706596184682,0.01173523349829786,0.624832028202819,1.431528123491605,0.02858991130937153,0.6272259720200348,0.06699594719729636,0.00855373421851988,0.5694986796132823,1.3008642443585048,-40.300920517807555,-4.037214082636586,-28.313663062515808,-27.1106602202627,-8.855715791120694,-9.127580310081596
